"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 21, 2020","5,100.73","5,088.87","5,100.73","5,088.87","-","0.23%"
"Sep 20, 2020","5,088.87","5,104.65","5,131.05","5,083.33","-","-0.31%"
"Sep 17, 2020","5,104.65","5,116.81","5,134.89","5,098.06","-","-0.24%"
"Sep 16, 2020","5,116.81","5,100.54","5,128.40","5,100.54","-","0.32%"
"Sep 15, 2020","5,100.54","5,092.14","5,101.66","5,074.35","-","0.16%"
"Sep 14, 2020","5,092.14","5,094.05","5,127.17","5,072.86","-","-0.04%"
"Sep 13, 2020","5,094.05","5,105.97","5,105.97","5,091.33","-","1.65%"
"Sep 10, 2020","5,011.29","4,971.68","5,016.51","4,971.68","-","0.80%"
"Sep 09, 2020","4,971.68","4,978.32","4,999.77","4,957.81","-","-0.13%"
"Sep 08, 2020","4,978.32","4,959.18","4,990.42","4,959.18","-","0.39%"
"Sep 07, 2020","4,959.18","4,948.56","4,983.23","4,940.32","-","0.21%"
"Sep 06, 2020","4,948.56","4,927.82","4,967.95","4,927.82","-","0.42%"
"Sep 03, 2020","4,927.82","4,891.53","4,947.09","4,891.53","-","0.74%"
"Sep 02, 2020","4,891.53","4,878.67","4,900.03","4,855.56","-","0.60%"
"Sep 01, 2020","4,862.22","4,879.14","4,909.64","4,839.97","-","-0.35%"
"Aug 31, 2020","4,879.14","4,873.17","4,946.69","4,873.17","-","0.12%"
"Aug 27, 2020","4,873.17","4,827.57","4,884.31","4,827.57","-","0.94%"
"Aug 26, 2020","4,827.57","4,781.57","4,838.35","4,781.57","-","0.96%"
"Aug 25, 2020","4,781.57","4,762.43","4,812.80","4,759.54","-","0.40%"
"Aug 24, 2020","4,762.43","4,794.92","4,814.83","4,713.40","-","-0.68%"
"Aug 23, 2020","4,794.92","4,794.06","4,849.55","4,788.19","-","0.02%"
"Aug 20, 2020","4,794.06","4,790.67","4,819.66","4,771.37","-","0.10%"
"Aug 19, 2020","4,789.37","4,720.10","4,846.03","4,720.10","-","1.47%"
"Aug 18, 2020","4,720.10","4,785.04","4,813.38","4,686.55","-","-1.36%"
"Aug 17, 2020","4,785.04","4,859.48","4,952.85","4,780.57","-","-1.53%"
"Aug 16, 2020","4,859.48","4,703.32","4,863.69","4,703.32","-","3.32%"
"Aug 13, 2020","4,703.32","4,633.37","4,739.67","4,633.37","-","1.51%"
"Aug 12, 2020","4,633.37","4,533.05","4,639.57","4,533.05","-","2.21%"
"Aug 10, 2020","4,533.05","4,545.15","4,579.98","4,510.88","-","-0.27%"
"Aug 09, 2020","4,545.15","4,364.83","4,557.18","4,364.83","-","4.13%"
"Aug 06, 2020","4,364.83","4,307.15","4,368.34","4,307.15","-","1.34%"
"Aug 05, 2020","4,307.15","4,299.10","4,327.98","4,294.33","-","0.19%"
"Aug 04, 2020","4,299.10","4,271.81","4,300.82","4,257.97","-","0.64%"
"Aug 03, 2020","4,271.81","4,214.42","4,273.65","4,214.42","-","1.36%"
"Jul 30, 2020","4,214.42","4,171.20","4,218.49","4,169.64","-","1.04%"
"Jul 29, 2020","4,171.20","4,156.54","4,176.06","4,150.20","-","0.35%"
"Jul 28, 2020","4,156.54","4,145.38","4,160.81","4,143.44","-","0.27%"
"Jul 27, 2020","4,145.38","4,129.07","4,146.28","4,123.49","-","0.40%"
"Jul 26, 2020","4,129.07","4,080.93","4,130.25","4,080.87","-","1.18%"
"Jul 23, 2020","4,080.93","4,076.79","4,081.56","4,073.81","-","0.10%"
"Jul 22, 2020","4,076.79","4,085.79","4,088.44","4,070.93","-","-0.22%"
"Jul 21, 2020","4,085.79","4,074.09","4,086.83","4,069.54","-","0.38%"
"Jul 20, 2020","4,070.15","4,050.64","4,073.76","4,041.38","-","0.48%"
"Jul 19, 2020","4,050.64","4,043.97","4,051.94","4,039.58","-","-0.45%"
"Jul 16, 2020","4,069.11","4,068.27","4,071.75","4,058.43","-","-0.24%"
"Jul 15, 2020","4,079.07","4,082.14","4,088.25","4,073.42","-","-0.08%"
"Jul 14, 2020","4,082.14","4,089.51","4,095.92","4,073.21","-","-0.18%"
"Jul 13, 2020","4,089.51","4,099.42","4,111.27","4,073.26","-","-0.24%"
"Jul 12, 2020","4,099.42","4,077.82","4,102.75","4,077.82","-","0.93%"
"Jul 09, 2020","4,061.56","4,034.65","4,063.23","4,034.65","-","0.67%"
"Jul 08, 2020","4,034.65","4,001.81","4,037.77","4,001.81","-","0.82%"
"Jul 07, 2020","4,001.81","3,994.65","4,003.71","3,994.65","-","0.18%"
"Jul 06, 2020","3,994.65","3,981.52","3,998.02","3,977.36","-","0.33%"
"Jul 05, 2020","3,981.52","3,986.73","3,986.73","3,977.10","-","-0.13%"
"Jul 02, 2020","3,986.73","3,989.08","3,989.08","3,978.92","-","-0.06%"
"Jun 30, 2020","3,989.08","3,981.64","3,989.53","3,979.72","-","0.19%"
